DATE	DAILY_ENTRIES
2019-12-29	2721057.0
2019-12-30	4497831.0
2019-12-31	4328830.0
2020-01-01	2636872.0
2020-01-02	5254307.0
2020-01-03	5279522.0
2020-01-04	3035384.0
2020-01-05	2432322.0
2020-01-06	5462766.0
2020-01-07	5768123.0
2020-01-08	5738510.0
2020-01-09	5858976.0
2020-01-10	5802832.0
2020-01-11	3261489.0
2020-01-12	2462241.0
2020-01-13	5476837.0
2020-01-14	5710578.0
2020-01-15	5971512.0
2020-01-16	5898747.0
2020-01-17	5675516.0
2020-01-18	2731243.0
2020-01-19	2379537.0
2020-01-20	3307807.0
2020-01-21	5549550.0
2020-01-22	5752084.0
2020-01-23	5701004.0
2020-01-24	5616159.0
2020-01-25	2763585.0
2020-01-26	2518902.0
2020-01-27	5449183.0
2020-01-28	5988960.0
2020-01-29	5885685.0
2020-01-30	5910488.0
2020-01-31	5638873.0
2020-02-01	3080567.0
2020-02-02	2346205.0
2020-02-03	5659485.0
2020-02-04	5824113.0
2020-02-05	5917458.0
2020-02-06	6057714.0
2020-02-07	5715789.0
2020-02-08	3106067.0
2020-02-09	2391247.0
2020-02-10	5550997.0
2020-02-11	5890168.0
2020-02-12	5829402.0
2020-02-13	6038313.0
2020-02-14	5732023.0
2020-02-15	2933145.0
2020-02-16	2452390.0
2020-02-17	3287895.0
2020-02-18	5431639.0
2020-02-19	5581833.0
2020-02-20	5617549.0
2020-02-21	5387405.0
2020-02-22	3062813.0
2020-02-23	2407506.0
2020-02-24	5561491.0
2020-02-25	5783127.0
2020-02-26	5907448.0
2020-02-27	5969830.0
2020-02-28	5829687.0
2020-02-29	3041489.0
2020-03-01	2427253.0
2020-03-02	5586392.0
2020-03-03	5716444.0
2020-03-04	5755579.0
2020-03-05	5729398.0
2020-03-06	5485714.0
2020-03-07	2929033.0
2020-03-08	2143618.0
2020-03-09	5070281.0
2020-03-10	5147182.0
2020-03-11	5019281.0
2020-03-12	4413297.0
2020-03-13	3784752.0
2020-03-14	1811735.0
2020-03-15	1270685.0
2020-03-16	2337460.0
2020-03-17	1946217.0
2020-03-18	1717841.0
2020-03-19	1504935.0
2020-03-20	1480599.0
2020-03-21	684120.0
2020-03-22	453052.0
2020-03-23	751894.0
2020-03-24	899810.0
2020-03-25	740183.0
2020-03-26	834379.0
2020-03-27	699028.0
2020-03-28	373093.0
2020-03-29	286285.0
2020-03-30	571259.0
2020-03-31	551236.0
2020-04-01	547123.0
2020-04-02	521745.0
2020-04-03	518715.0
2020-04-04	318923.0
2020-04-05	247972.0
2020-04-06	467444.0
2020-04-07	465977.0
2020-04-08	459170.0
2020-04-09	436896.0
2020-04-10	432054.0
2020-04-11	282989.0
2020-04-12	219883.0
2020-04-13	428884.0
2020-04-14	459973.0
2020-04-15	451514.0
2020-04-16	453555.0
2020-04-17	467213.0
2020-04-18	331267.0
2020-04-19	246659.0
2020-04-20	463345.0
2020-04-21	554820.0
2020-04-22	570868.0
2020-04-23	524724.0
2020-04-24	476121.0
2020-04-25	325168.0
2020-04-26	243358.0
2020-04-27	486747.0
2020-04-28	522038.0
2020-04-29	551637.0
2020-04-30	502346.0
2020-05-01	528806.0
2020-05-02	367586.0
2020-05-03	366922.0
2020-05-04	555507.0
2020-05-05	557107.0
2020-05-06	587912.0
2020-05-07	569084.0
2020-05-08	565297.0
2020-05-09	346768.0
2020-05-10	293915.0
2020-05-11	574896.0
2020-05-12	611562.0
2020-05-13	602479.0
2020-05-14	659474.0
2020-05-15	623665.0
2020-05-16	395102.0
2020-05-17	315045.0
2020-05-18	624687.0
2020-05-19	649606.0
2020-05-20	726379.0
2020-05-21	667780.0
2020-05-22	673296.0
2020-05-23	398616.0
2020-05-24	339860.0
2020-05-25	416433.0
2020-05-26	740432.0
2020-05-27	734954.0
2020-05-28	712418.0
2020-05-29	689132.0
2020-05-30	459397.0
2020-05-31	370265.0
2020-06-01	795858.0
2020-06-02	749685.0
2020-06-03	810115.0
2020-06-04	777542.0
2020-06-05	782085.0
2020-06-06	486227.0
2020-06-07	393490.0
2020-06-08	832296.0
2020-06-09	879095.0
2020-06-10	936078.0
2020-06-11	860507.0
2020-06-12	999275.0
2020-06-13	573798.0
2020-06-14	461263.0
2020-06-15	928723.0
2020-06-16	968392.0
2020-06-17	1074378.0
2020-06-18	999074.0
2020-06-19	1011526.0
2020-06-20	613089.0
2020-06-21	471888.0
2020-06-22	1055959.0
2020-06-23	1083814.0
2020-06-24	1105160.0
2020-06-25	1117880.0
2020-06-26	1130949.0
2020-06-27	723088.0
2020-06-28	560691.0
2020-06-29	1131399.0
2020-06-30	1156177.0
2020-07-01	1213584.0
2020-07-02	1268934.0
2020-07-03	932463.0
2020-07-04	601112.0
2020-07-05	573651.0
2020-07-06	1119627.0
2020-07-07	1186027.0
2020-07-08	1283481.0
2020-07-09	1236790.0
2020-07-10	1086207.0
2020-07-11	704916.0
2020-07-12	632379.0
2020-07-13	1205931.0
2020-07-14	1269042.0
2020-07-15	1277332.0
2020-07-16	1277955.0
2020-07-17	1233206.0
2020-07-18	825010.0
2020-07-19	610325.0
2020-07-20	1212773.0
2020-07-21	1263904.0
2020-07-22	1395064.0
2020-07-23	1245992.0
2020-07-24	1225293.0
2020-07-25	886133.0
2020-07-26	630793.0
2020-07-27	1217609.0
2020-07-28	1262997.0
2020-07-29	1317764.0
2020-07-30	1290990.0
2020-07-31	1280727.0
2020-08-01	859831.0
2020-08-02	619007.0
2020-08-03	1280136.0
2020-08-04	1112809.0
2020-08-05	1370240.0
2020-08-06	1347923.0
2020-08-07	1367052.0
2020-08-08	850117.0
2020-08-09	681626.0
2020-08-10	1286023.0
2020-08-11	1332644.0
2020-08-12	1401065.0
2020-08-13	1304496.0
2020-08-14	1373141.0
2020-08-15	895934.0
2020-08-16	583744.0
2020-08-17	1297042.0
2020-08-18	1392194.0
2020-08-19	1362746.0
2020-08-20	1436748.0
2020-08-21	1427213.0
2020-08-22	900510.0
2020-08-23	686498.0
2020-08-24	1330946.0
2020-08-25	1550575.0
2020-08-26	1410691.0
2020-08-27	1384398.0
2020-08-28	1394868.0
2020-08-29	787799.0
2020-08-30	746834.0
2020-08-31	1403542.0
2020-09-01	1540290.0
2020-09-02	1504852.0
2020-09-03	1539655.0
2020-09-04	1545971.0
2020-09-05	1024323.0
2020-09-06	828691.0
2020-09-07	879440.0
2020-09-08	1594383.0
2020-09-09	1734347.0
2020-09-10	1554438.0
2020-09-11	1650140.0
2020-09-12	1104570.0
2020-09-13	874923.0
2020-09-14	1589409.0
2020-09-15	1667629.0
2020-09-16	1676575.0
2020-09-17	1715778.0
2020-09-18	1683019.0
2020-09-19	1150325.0
2020-09-20	841886.0
2020-09-21	1598763.0
2020-09-22	1684503.0
2020-09-23	1733743.0
2020-09-24	1716803.0
2020-09-25	1764864.0
2020-09-26	1118787.0
2020-09-27	857317.0
2020-09-28	1470436.0
2020-09-29	1662362.0
2020-09-30	1722575.0
2020-10-01	1826567.0
2020-10-02	1770155.0
2020-10-03	1211480.0
2020-10-04	865129.0
2020-10-05	1675565.0
2020-10-06	1823141.0
2020-10-07	1792172.0
2020-10-08	1807553.0
2020-10-09	1769136.0
2020-10-10	1158971.0
2020-10-11	922058.0
2020-10-12	1299734.0
2020-10-13	1678768.0
2020-10-14	1799829.0
2020-10-15	1867539.0
2020-10-16	1676810.0
2020-10-17	1190765.0
2020-10-18	932944.0
2020-10-19	1684520.0
2020-10-20	1756872.0
2020-10-21	1785937.0
2020-10-22	1793775.0
2020-10-23	1799865.0
2020-10-24	1168159.0
2020-10-25	947440.0
2020-10-26	1648839.0
2020-10-27	1777306.0
2020-10-28	1831532.0
2020-10-29	1685743.0
2020-10-30	1734642.0
2020-10-31	1145372.0
2020-11-01	827135.0
2020-11-02	1698788.0
2020-11-03	1579441.0
2020-11-04	1721350.0
2020-11-05	1753677.0
2020-11-06	1838980.0
2020-11-07	1189161.0
2020-11-08	920456.0
2020-11-09	1724439.0
2020-11-10	1882512.0
2020-11-11	1674041.0
2020-11-12	1782859.0
2020-11-13	1766622.0
2020-11-14	1242109.0
2020-11-15	879695.0
2020-11-16	1701877.0
2020-11-17	1740225.0
2020-11-18	1783764.0
2020-11-19	1743900.0
2020-11-20	1729956.0
2020-11-21	1107303.0
2020-11-22	791179.0
2020-11-23	1594863.0
2020-11-24	1711833.0
2020-11-25	1630128.0
2020-11-26	658844.0
2020-11-27	1189864.0
2020-11-28	1042454.0
2020-11-29	794363.0
2020-11-30	1411941.0
2020-12-01	1687186.0
2020-12-02	1841785.0
2020-12-03	1718702.0
2020-12-04	1632204.0
2020-12-05	974501.0
2020-12-06	830803.0
2020-12-07	1586612.0
2020-12-08	1718040.0
2020-12-09	1652049.0
2020-12-10	1720219.0
2020-12-11	1693494.0
2020-12-12	1042185.0
2020-12-13	862159.0
2020-12-14	1521482.0
2020-12-15	1759297.0
2020-12-16	1549530.0
2020-12-17	1029107.0
2020-12-18	1619349.0
2020-12-19	1089838.0
2020-12-20	777066.0
2020-12-21	1623770.0
2020-12-22	1676468.0
2020-12-23	1698596.0
2020-12-24	1282245.0
2020-12-25	498657.0
