DATE	DAILY_ENTRIES
2018-11-25	2456163.0
2018-11-26	5801635.0
2018-11-27	6163944.0
2018-11-28	6242837.0
2018-11-29	6330155.0
2018-11-30	6206879.0
2018-12-01	3567437.0
2018-12-02	2606451.0
2018-12-03	6052744.0
2018-12-04	6349728.0
2018-12-05	6260946.0
2018-12-06	6369619.0
2018-12-07	6215806.0
2018-12-08	3752503.0
2018-12-09	2771454.0
2018-12-10	6008436.0
2018-12-11	6190740.0
2018-12-12	6263404.0
2018-12-13	6144695.0
2018-12-14	6249682.0
2018-12-15	3578343.0
2018-12-16	2757569.0
2018-12-17	5910956.0
2018-12-18	6133579.0
2018-12-19	6147132.0
2018-12-20	6198499.0
2018-12-21	5388029.0
2018-12-22	3480875.0
2018-12-23	2838713.0
2018-12-24	3434052.0
2018-12-25	1806148.0
2018-12-26	4132122.0
2018-12-27	4798979.0
2018-12-28	4347716.0
2018-12-29	3509233.0
2018-12-30	2923761.0
2018-12-31	3935870.0
2019-01-01	2381036.0
2019-01-02	5313996.0
2019-01-03	5708684.0
2019-01-04	5580026.0
2019-01-05	2880013.0
2019-01-06	2390525.0
2019-01-07	5577464.0
2019-01-08	5693156.0
2019-01-09	5773861.0
2019-01-10	5745609.0
2019-01-11	5733685.0
2019-01-12	3005717.0
2019-01-13	2317513.0
2019-01-14	5455421.0
2019-01-15	5884058.0
2019-01-16	5975290.0
2019-01-17	5821272.0
2019-01-18	5493668.0
2019-01-19	2928342.0
2019-01-20	2036118.0
2019-01-21	2606230.0
2019-01-22	5371569.0
2019-01-23	5719363.0
2019-01-24	5632420.0
2019-01-25	5799368.0
2019-01-26	3166019.0
2019-01-27	2427599.0
2019-01-28	5574957.0
2019-01-29	5949399.0
2019-01-30	5729091.0
2019-01-31	5227923.0
2019-02-01	5546752.0
2019-02-02	2992639.0
2019-02-03	2343962.0
2019-02-04	5695857.0
2019-02-05	5678149.0
2019-02-06	6084759.0
2019-02-07	6029857.0
2019-02-08	5927660.0
2019-02-09	3133061.0
2019-02-10	2478516.0
2019-02-11	5710167.0
2019-02-12	5254661.0
2019-02-13	6028725.0
2019-02-14	6184032.0
2019-02-15	5741078.0
2019-02-16	3221294.0
2019-02-17	2529380.0
2019-02-18	3218137.0
2019-02-19	5564970.0
2019-02-20	5512289.0
2019-02-21	5721829.0
2019-02-22	5578371.0
2019-02-23	3158492.0
2019-02-24	2303391.0
2019-02-25	5711112.0
2019-02-26	6127226.0
2019-02-27	6043801.0
2019-02-28	6058010.0
2019-03-01	5949139.0
2019-03-02	3025218.0
2019-03-03	2440196.0
2019-03-04	4520320.0
2019-03-05	6339428.0
2019-03-06	6146482.0
2019-03-07	6200233.0
2019-03-08	6094705.0
2019-03-09	3479167.0
2019-03-10	2207489.0
2019-03-11	5887012.0
2019-03-12	6083924.0
2019-03-13	6162063.0
2019-03-14	6160168.0
2019-03-15	5974413.0
2019-03-16	3474959.0
2019-03-17	2705922.0
2019-03-18	5664552.0
2019-03-19	5980689.0
2019-03-20	6198189.0
2019-03-21	5917825.0
2019-03-22	5877270.0
2019-03-23	3321328.0
2019-03-24	2661053.0
2019-03-25	5724621.0
2019-03-26	6018799.0
2019-03-27	6189804.0
2019-03-28	6141396.0
2019-03-29	6051874.0
2019-03-30	3515620.0
2019-03-31	2586265.0
2019-04-01	5757124.0
2019-04-02	6140562.0
2019-04-03	6215051.0
2019-04-04	6440782.0
2019-04-05	5988771.0
2019-04-06	3622050.0
2019-04-07	2806856.0
2019-04-08	5828586.0
2019-04-09	6132273.0
2019-04-10	6168589.0
2019-04-11	6238455.0
2019-04-12	6006846.0
2019-04-13	3792836.0
2019-04-14	2850547.0
2019-04-15	5795081.0
2019-04-16	6249657.0
2019-04-17	6453868.0
2019-04-18	6181450.0
2019-04-19	5285155.0
2019-04-20	3293685.0
2019-04-21	2583442.0
2019-04-22	5241868.0
2019-04-23	5820965.0
2019-04-24	5744671.0
2019-04-25	5869452.0
2019-04-26	5385146.0
2019-04-27	3482819.0
2019-04-28	2716007.0
2019-04-29	5994293.0
2019-04-30	6138170.0
2019-05-01	6376381.0
2019-05-02	6197752.0
2019-05-03	6101000.0
2019-05-04	3606375.0
2019-05-05	2623229.0
2019-05-06	5796229.0
2019-05-07	6149626.0
2019-05-08	6182707.0
2019-05-09	6283464.0
2019-05-10	5988896.0
2019-05-11	3784043.0
2019-05-12	2415717.0
2019-05-13	5757015.0
2019-05-14	6228594.0
2019-05-15	6203859.0
2019-05-16	6367954.0
2019-05-17	6097603.0
2019-05-18	3740949.0
2019-05-19	2947405.0
2019-05-20	5881436.0
