DATE	DAILY_ENTRIES
2017-01-01	2627365.0
2017-01-02	2867392.0
2017-01-03	5470453.0
2017-01-04	5894501.0
2017-01-05	5864375.0
2017-01-06	5762175.0
2017-01-07	2947010.0
2017-01-08	2354452.0
2017-01-09	5461338.0
2017-01-10	5760735.0
2017-01-11	5858501.0
2017-01-12	5928329.0
2017-01-13	5906866.0
2017-01-14	3153635.0
2017-01-15	2586611.0
2017-01-16	3527685.0
2017-01-17	5726793.0
2017-01-18	5856422.0
2017-01-19	5988354.0
2017-01-20	5787812.0
2017-01-21	3598616.0
2017-01-22	2451588.0
2017-01-23	5397499.0
2017-01-24	5538853.0
2017-01-25	5887585.0
2017-01-26	5954348.0
2017-01-27	5748841.0
2017-01-28	3302488.0
2017-01-29	2638352.0
2017-01-30	5610550.0
2017-01-31	5930473.0
2017-02-01	6062857.0
2017-02-02	6136676.0
2017-02-03	5987005.0
2017-02-04	3294436.0
2017-02-05	2526458.0
2017-02-06	5950227.0
2017-02-07	5991965.0
2017-02-08	6202535.0
2017-02-09	3292289.0
2017-02-10	5954746.0
2017-02-11	3439346.0
2017-02-12	2383265.0
2017-02-13	5683636.0
2017-02-14	6156912.0
2017-02-15	6180914.0
2017-02-16	6046513.0
2017-02-17	5922012.0
2017-02-18	3426501.0
2017-02-19	2859056.0
2017-02-20	3477039.0
2017-02-21	5618213.0
2017-02-22	6011107.0
2017-02-23	5915794.0
2017-02-24	5769004.0
2017-02-25	3317158.0
2017-02-26	2564578.0
2017-02-27	5806221.0
2017-02-28	6093078.0
2017-03-01	6164299.0
2017-03-02	6261258.0
2017-03-03	6166869.0
2017-03-04	3335003.0
2017-03-05	2533953.0
2017-03-06	6112806.0
2017-03-07	6163546.0
2017-03-08	6302101.0
2017-03-09	6417576.0
2017-03-10	5980718.0
2017-03-11	3393103.0
2017-03-12	2529807.0
2017-03-13	6047116.0
2017-03-14	1618514.0
2017-03-15	5614254.0
2017-03-16	6448587.0
2017-03-17	6713785.0
2017-03-18	3598022.0
2017-03-19	2881686.0
2017-03-20	6062728.0
2017-03-21	6374779.0
2017-03-22	6346509.0
2017-03-23	6247616.0
2017-03-24	6184961.0
2017-03-25	3572533.0
2017-03-26	2726658.0
2017-03-27	5829043.0
2017-03-28	6128874.0
2017-03-29	6408961.0
2017-03-30	6389650.0
2017-03-31	6065358.0
2017-04-01	3441695.0
2017-04-02	2947764.0
2017-04-03	6016717.0
2017-04-04	6109097.0
2017-04-05	6569507.0
2017-04-06	6155749.0
2017-04-07	6233744.0
2017-04-08	3687590.0
2017-04-09	3042330.0
2017-04-10	5543029.0
2017-04-11	5751980.0
2017-04-12	5807176.0
2017-04-13	5952962.0
2017-04-14	5268198.0
2017-04-15	3515960.0
2017-04-16	2794548.0
2017-04-17	5290835.0
2017-04-18	5735931.0
2017-04-19	6276095.0
2017-04-20	6240761.0
2017-04-21	6185949.0
2017-04-22	3814324.0
2017-04-23	2954621.0
2017-04-24	5887641.0
2017-04-25	6142452.0
2017-04-26	6287954.0
2017-04-27	6363974.0
2017-04-28	6249152.0
2017-04-29	3855171.0
2017-04-30	2990994.0
2017-05-01	5878404.0
2017-05-02	6361648.0
2017-05-03	6363179.0
2017-05-04	6417332.0
2017-05-05	5942722.0
2017-05-06	3543324.0
2017-05-07	2858812.0
2017-05-08	5936113.0
2017-05-09	6236576.0
2017-05-10	6349558.0
2017-05-11	6377579.0
2017-05-12	6242056.0
2017-05-13	3195171.0
2017-05-14	2638001.0
2017-05-15	5909057.0
2017-05-16	6526086.0
2017-05-17	6427620.0
2017-05-18	6471558.0
2017-05-19	6371482.0
2017-05-20	3814052.0
2017-05-21	3021307.0
2017-05-22	5798149.0
2017-05-23	6202874.0
2017-05-24	6322002.0
2017-05-25	6240423.0
2017-05-26	5836199.0
2017-05-27	3405079.0
2017-05-28	2781963.0
2017-05-29	2484100.0
2017-05-30	5874306.0
2017-05-31	5990967.0
2017-06-01	6222861.0
2017-06-02	6080913.0
2017-06-03	3693329.0
2017-06-04	2931913.0
2017-06-05	5945298.0
2017-06-06	6234531.0
2017-06-07	6324298.0
2017-06-08	6201959.0
2017-06-09	6254348.0
2017-06-10	3685043.0
2017-06-11	3123374.0
2017-06-12	5867767.0
2017-06-13	6199293.0
2017-06-14	6340404.0
2017-06-15	6292998.0
2017-06-16	5985807.0
2017-06-17	3451120.0
2017-06-18	2773214.0
2017-06-19	5691682.0
2017-06-20	6003211.0
2017-06-21	6335501.0
2017-06-22	6143744.0
2017-06-23	5899402.0
2017-06-24	3570455.0
2017-06-25	3317508.0
2017-06-26	5664934.0
2017-06-27	6004887.0
2017-06-28	6115236.0
2017-06-29	5993729.0
2017-06-30	5781641.0
2017-07-01	3164801.0
2017-07-02	2761510.0
2017-07-03	4159808.0
2017-07-04	2872269.0
2017-07-05	5427998.0
2017-07-06	5868433.0
2017-07-07	5466244.0
2017-07-08	3493671.0
2017-07-09	2840272.0
2017-07-10	5556760.0
2017-07-11	5914578.0
2017-07-12	5903022.0
2017-07-13	5963324.0
2017-07-14	5611760.0
2017-07-15	3550039.0
2017-07-16	2944947.0
2017-07-17	5635018.0
2017-07-18	5893125.0
2017-07-19	6113119.0
2017-07-20	5931587.0
2017-07-21	5690977.0
2017-07-22	3443393.0
2017-07-23	2749921.0
2017-07-24	5359620.0
2017-07-25	5811829.0
2017-07-26	5992719.0
2017-07-27	5984990.0
2017-07-28	5699794.0
2017-07-29	3368191.0
2017-07-30	2881279.0
2017-07-31	5507869.0
2017-08-01	5810607.0
2017-08-02	5861414.0
2017-08-03	5821078.0
2017-08-04	5622524.0
2017-08-05	3399046.0
2017-08-06	2834763.0
2017-08-07	5276898.0
2017-08-08	5794404.0
2017-08-09	5918808.0
2017-08-10	5913875.0
2017-08-11	5625834.0
2017-08-12	3354480.0
2017-08-13	2855352.0
2017-08-14	5286227.0
2017-08-15	5546684.0
2017-08-16	5640757.0
2017-08-17	5638753.0
2017-08-18	5209086.0
2017-08-19	3255473.0
2017-08-20	2743797.0
2017-08-21	5037021.0
2017-08-22	5355279.0
2017-08-23	5436972.0
2017-08-24	5472456.0
2017-08-25	5395173.0
2017-08-26	3392317.0
2017-08-27	2687271.0
2017-08-28	5234442.0
2017-08-29	5601912.0
2017-08-30	5617191.0
2017-08-31	5680430.0
2017-09-01	5275434.0
2017-09-02	3179347.0
2017-09-03	2437416.0
2017-09-04	2821876.0
2017-09-05	5592989.0
