Base License Number,Base Name,DBA,Year,Month,Month Name,Total Dispatched Trips,Total Dispatched Shared Trips,Unique Dispatched Vehicles
B02686,STANDARD LIMOUSINE & CAR SERVICE GROUP LLC.,,2017,8,August,248,0,15
B00084,AUTOMOTIVE SVC SYSTEM INC,,2017,4,April,94,0,12
B03266,HOYT LIMO & SERVICE CORP.,,2020,11,November,"8,452",0,46
B02509,NY MINUTE CAR SERVICE INC.,,2018,6,June,"13,013",0,100
B01721,W.K. CAR & LIMO SERVICE INC,,2017,6,June,"3,150",0,22
B01970,GRAFE STREET SERVICE CORP.,,2017,8,August,368,0,11
B01215,ECUADOOR CORP,,2017,1,January,"17,582",0,66
B02699,PRESIDENTIAL LUXURY LIMO INC.,,2017,7,July,"1,204",0,49
B02594,FENIX MOBILE DISPATCHERS LTD,,2018,9,September,424,0,2
B01492,MOBILE #1 CAR SERVICE INC.,,2017,9,September,63,0,7
B03011,GOOD DAY TRANSPORTATION INC,,2019,7,July,121,0,4
B01061,DAT RADIO DISP INC,,2015,12,December,"66,800",0,262
B02613,NYC STAR LIMOUSINE & CAR SERVICES CORP.,NYS CAR SERVICE,2017,8,August,"2,060",0,17
B01710,"79 MASADA III, INC.",MASADA III,2018,2,February,"2,234",0,17
B01145,ULTRA RADIO DISP INC,,2021,10,October,"28,546",0,167
B00937,RIVERSIDE RADIO DISPATCHER,,2016,7,July,"58,525",0,294
B00856,BEE-BEE CAR SERVICE INC.,,2019,6,June,"40,073",0,196
B02641,AVENUE X CAR SERVICE INC.,PRESTIGE CAR SERVICE,2020,2,February,"2,535",0,17
B01808,OLD TOWN CARS CORP,DELTA CARS,2018,5,May,"2,675",0,6
B01629,BBA MANAGEMENT INC.,UNITED CAR & LIMO SERVICE,2021,2,February,839,0,4
B00095,LIBERTY CAR SERVICE INC.,,2019,1,January,"3,375",0,18
B00319,AVENTINE AUTO RENTAL INC,SAFEWAY CAR SVCE,2019,9,September,950,0,6
B03038,"SOUTH BRONX TRANSPORTATION,INC.",,2018,12,December,118,0,3
B02463,MORENITA EXPRESS CAR SERVICE INC.,,2018,2,February,"1,092",0,7
B02521,"PICTURE PROPERTIES, INC.",DEUCES TRANSPORT SERVICES,2017,9,September,"2,242",0,16
B00628,"CONCORD LIMOUSINE 1, LLC",,2015,10,October,"21,149",0,385
B00837,"CAREY LIMOUSINE NY, INC",,2020,9,September,"3,426",0,70
B01129,GTWY INC,GATEWAY CAR & LIMO SVCE,2021,5,May,"1,740",0,9
B02574,"MTC LIMOUSINE & CORPORATE COACH,INC.",,2019,10,October,"1,846",0,42
B00492,BLU-WHITE ASSOCIATED TRANSPORTATION SERVICE INC,,2017,10,October,"3,661",0,21
B01985,"LUXURY WORLDWIDE TRANSPORTATION, LLC",,2019,12,December,951,0,46
B02924,CELEBRITY LUXURY INC.,,2020,3,March,75,0,19
B02160,"12TH STREET LUXURY CARS, INC.",,2016,3,March,117,0,24
B02594,FENIX MOBILE DISPATCHERS LTD,,2018,2,February,912,0,7
B02990,GO MY SEDAN LLC,,2018,3,March,794,0,14
B00271,UTOG 2-WAY RADIO INC,UTOG CORPORATE CAR SERVICE,2021,10,October,"4,019",0,78
B02173,ADMIRE LLP LLC,,2021,7,July,121,0,36
B00095,LIBERTY CAR SERVICE INC.,,2021,8,August,"1,133",0,7
B02447,LUIGI MEMO INC.,VIEW,2018,11,November,34,0,13
B02551,CHIEF LIMO INC.,,2017,10,October,3,0,3
B00160,JAFFA CAR & LIMO SVC INC,,2021,4,April,"1,656",0,12
B02849,BROOKLYN RIDES CORP,,2020,1,January,"19,242",0,140
B00856,BEE-BEE CAR SERVICE INC.,,2017,4,April,"16,091",0,74
B02846,DLS TRANSPORTATION CORP.,,2018,2,February,"2,234",0,18
B01973,RAJA CAR & LIMOUSINE SERVICE INC.,ANGEL CAR SERVICE,2016,2,February,"2,509",0,14
B02727,OSCAR LIMOUSINE INC,,2019,11,November,499,0,7
B00319,AVENTINE AUTO RENTAL INC,SAFEWAY CAR SVCE,2020,8,August,"1,258",0,10
B00112,"AYY&M TRANSPORTATION, LLC",HARBORVIEW CAR SERVICE,2018,7,July,"3,978",0,19
B02096,"CET GROUP, INC",,2021,5,May,237,0,36
B00837,CAREY LIMO N Y INC,,2018,5,May,"10,799",0,213
B01811,IVOIRE LIMO INC.,,2015,7,July,"7,653",0,54
B03062,BQN VOUCHER INC,,2018,9,September,"1,485",0,8
B03125,SIMPLE CARS LLC.,,2019,7,July,225,0,5
B00254,XYZ TWO WAY RADIO,,2019,1,January,"13,280",0,219
B02655,LONG ISLAND CITY CAR AND LIMO INC.,A2B CORPORATE SEDAN,2019,10,October,927,0,13
B00202,"EXCELSIOR CAR & LIMO, INC.",,2015,7,July,"1,667",0,23
B00271,UTOG 2-WAY RADIO INC,UTOG CORPORATE CAR SERVICE,2016,6,June,"17,629",0,241
B01907,BEN'S LUXURY CAR & LIMOUSINE SERVICE INC,,2016,6,June,"2,612",0,48
B00078,R & R ROAD LIMO SVCE INC,,2016,6,June,"1,801",0,43
B01623,JAMAICA EXPRESS CAR SERVICE INC.,SUNSHINE CAR SERVICE,2015,10,October,"1,949",0,10
B02717,ZOOM CAR SERVICE INC.,,2018,9,September,548,0,2
B03258,CHERRY TRANSPORTATION NY INC.,,2021,6,June,274,0,7
B02651,SAROS TRANSPORTATION GROUP INC.,,2018,5,May,238,0,17
B01087,ELITE LIMO PLUS INC,,2018,8,August,"18,031",0,447
B00837,"CAREY LIMOUSINE NY, INC",,2020,2,February,"7,904",0,148
B01710,"79 MASADA III, INC.",MASADA III,2017,5,May,558,0,9
B01485,FLAMINGO TRANSP. & LIMO. SERVICES INC.,,2016,5,May,"12,066",0,68
B01593,"NOVAK GLOBAL, INC.",SKYWAY CAR SERVICE,2018,7,July,"1,765",0,9
B02597,"RUDY'S LIMOUSINE SERVICE, INC.",RUDY'S EXECUTIVE TRANSPORTATION,2016,4,April,117,0,11
B00310,WATSON CAR SERVICE INC.,,2016,12,December,"40,859",0,183
B02167,MADISON LIMOUSINE INC,,2016,5,May,92,0,8
B00608,SUMMIT CORPORATE CAR INC.,,2016,11,November,"1,955",0,45
B01964,"GOLDEN TOUCH TRANSPORTATION OF NY, INC.",ECAR NEW YORK,2018,7,July,"1,285",0,33
B00290,ZPI CORPORATION,NATIONAL HIGH CLASS,2020,9,September,288,0,3
B01679,OLLIE'S TRANSPORTATION SERVICE,OLLIE'S AIRPORT SERVICE,2017,5,May,763,0,22
B02797,CJ LIMOUSINE LLC,,2016,8,August,348,0,17
B03239,CIBAO 2 INC.,,2021,9,September,"2,796",0,17
B00900,BIG Q CAR SVC. INC.,,2018,11,November,"45,013",0,163
B00536,"WINTHROP HOLDING OF NEW YORK, INC",,2018,12,December,"3,971",0,18
B00318,APPLE RADIO CARS INC,,2018,7,July,424,0,3
B01039,NYC WHEELS CAR SERVICE INC.,COMMUNICARE CAR SERVICE,2021,1,January,413,0,5
B00248,YELLOWSTONE TRANSPORTATION INC.,YES CAR SERVICE,2020,3,March,"2,815",0,40
B02491,CALL THREES LLC,,2018,12,December,57,0,1
B01777,PREMIUM RADIO DISP & MULTI SVC,,2021,5,May,"2,942",0,37
B03291,TRACY LUXURY CORP.,,2021,9,September,284,0,5
B00559,7 OCEAN EXPRESS INC.,,2018,1,January,"4,202",0,36
B01079,THE METRO MARINE CAR SERVICE INC,MARINE LIMO & CAR SERVICE,2021,3,March,"2,232",0,6
B02531,CLEAN AIR CAR SERVICE AND PARKING CORP.,,2021,10,October,"2,527",0,16
B03092,USA LIMOUSINE SERVICE CORP,VPZ EXECUTIVE LIMO,2020,6,June,540,0,10
B02379,THE OPTION TRANSPORTATION CORP.,,2020,2,February,"2,902",0,20
B01239,BEST DEAL PVT C/S INC,BEST DEAL DOMINICAN C/S INC,2020,1,January,"37,541",0,251
B03051,VILLE DE LA LIBERTE CHAUFFEUR INC,,2021,2,February,"2,537",0,18
B02846,DLS TRANSPORTATION CORP.,,2021,10,October,"1,810",0,21
B02725,KIRIN TRANSPORTATION INC,,2015,11,November,"2,187",0,29
B02055,"MONTAGUE MANAGEMENT SERVICES, INC.",PROMINENT CAR & LIMO,2015,12,December,148,0,2
B01190,NEW BELL CAR SERVICE CORP,,2018,9,September,"4,106",0,22
B03055,EXPLORER EXPRESS INC,,2019,10,October,"2,929",0,25
B02814,BELL LX INC,,2020,5,May,"1,418",0,12
B02846,DLS TRANSPORTATION CORP.,,2020,4,April,"2,836",0,24
B03299,WHITE TOP CAR SVCE INC,,2021,7,July,"5,464",0,23
B01306,"R N D TRANSPORTATION, INC.",MALONES CAR SVCE,2020,10,October,41,0,1
B02285,"VALERA GLOBAL, INC.",,2019,9,September,"3,168",0,66
B01069,RPO CAR AND LIMOUSINE SERVICE INC.,,2017,1,January,"1,887",0,15
B00412,NYC 2 WAY INTERNATIONAL LTD,NYC TWO WAY INC.,2021,7,July,"3,945",0,54
B02563,FENIX XL CAR AND LIMO SERVICE CORP.,,2018,5,May,"10,245",0,45
B00222,"REYNO CAR SVC, INC.",,2020,4,April,379,0,6
B01282,NEW LOTS C/S INC,,2019,6,June,"7,867",0,39
B01398,ALEX EXP C/L INC,,2017,8,August,89,0,11
B02728,NEWTOWN PRIVATE CAR SERVICE INC.,,2020,11,November,"1,180",0,8
B02770,"CAVALIER CAR & LIMOUSINE, INC.",,2015,11,November,65,0,16
B03022,BLACK CAR EXPRESS.COM CORP,,2017,12,December,237,0,15
B02657,MALCOLM LIMO EXPRESS CORP.,,2017,11,November,"1,112",0,46
B00821,ATLANTIC CAR SVCE,,2015,11,November,"25,436",0,133
B03048,ATLANTIS TRANSPORTATION SERVICES INC,,2019,10,October,"1,976",0,8
B01482,SHORE TRANSPORTATION INC,SEASIDE CAR SERVICE,2017,6,June,"6,247",0,22
B02279,MATAMOROS CAR SERVICE INC.,,2020,6,June,"4,110",0,14
B00457,PREMIUM BRONX CORP,,2017,3,March,"29,192",0,203
B01653,ART'S PLACE INC.,ON TIME CAR SERVICE,2020,9,September,"4,568",0,28
B01444,REGO PARK EXPRESS INC.,,2017,2,February,"7,185",0,21
B01263,"RACHEL'S CAR SERVICE,INC.",,2017,4,April,"4,216",0,22
B02342,"QUEST INTERNATIONAL LIMOUSINE, INC.",,2019,12,December,330,0,18
B02825,GUADALUPANA II CAR & LIMO INC,,2021,4,April,230,0,2
B02279,MATAMOROS CAR SERVICE INC.,,2020,10,October,"4,724",0,19
B01811,IVOIRE LIMO INC.,,2017,2,February,484,0,41
B01973,RAJA CAR & LIMOUSINE SERVICE INC.,ANGEL CAR SERVICE,2018,4,April,527,0,4
B02252,ASIANA LIMOUSINE INC.,,2020,1,January,19,0,3
B02539,HAWK CAR AND LIMO SERVICE,JRIDE,2018,1,January,"1,015",0,6
B02138,"GUADALUPANA CAR LIMO, INC",,2016,4,April,"4,835",0,19
B02899,NEW BLACK LUXURY CARS CORP,,2021,5,May,86,0,33
B00628,"CONCORD LIMOUSINE 1, LLC",,2016,5,May,"18,012",0,386
B01871,"ALPINE LIMOUSINE SERVICE, INC.",,2020,6,June,"1,414",0,44
B01406,GOTHAM CAR SERVICE INC.,LEGEND CAR SERVICE,2017,8,August,612,0,10
B03002,"REYNO,INC.",,2017,2,February,"1,011",0,9
B01176,SANTO DOMINGO CAR LIMO SERVICES INC,,2019,1,January,"5,099",0,31
B02655,LONG ISLAND CITY CAR AND LIMO INC.,A2B CORPORATE SEDAN,2016,1,January,24,0,6
B03023,HERMANY LIMO TRANSPORTATION LLC,,2021,9,September,421,0,5
B02152,"KYOEI LIMOUSINE, INC.","KYOEI LIMOUSINE, INC.",2020,11,November,65,0,10
B00823,"EASTERN L.P.B.,INC.",EASTERN CAR SVCE,2020,11,November,"3,319",0,46
B02947,"ONIX TRANSPORTATION, INC",,2018,7,July,"12,045",0,66
B00131,NEW MEXICANA CAR SERVICE II INC.,AZTECA EXPRESS,2018,1,January,"1,155",0,7
B02410,"POLO LIMOUSINE, CORP.",,2020,9,September,340,0,18
B02285,"VALERA GLOBAL, INC.",,2017,6,June,"3,576",0,87
B00271,UTOG 2-WAY RADIO INC,UTOG CORPORATE CAR SERVICE,2018,1,January,"10,830",0,177
B02569,LAPUMA GO GREEN LLC,GO GREENRIDE,2020,2,February,80,0,12
B00727,RECHEV OF BROOKLYN INC,,2018,2,February,"1,632",0,6
B03023,HERMANY LIMO TRANSPORTATION LLC,,2018,12,December,615,0,12
B02611,SS LIMOUSINE SERVICE INC,,2017,6,June,31,0,4
B01751,CONCORDE EXP OF N.Y. INC,,2018,9,September,"2,623",0,11
B03303,MOTA LUXURY CORP.,,2021,9,September,92,0,4
B00387,FORTUNE LIMOUSINES INC,,2021,6,June,94,0,3
B02207,"EASTERN LUXURY, INC.",,2017,9,September,413,0,97
B03033,FLEX EXPRESS CORP.,,2020,1,January,"3,874",0,28
B02664,CORPORATE CAR LTD.,,2017,6,June,196,0,44
B01194,440 CAR SERVICE INC.,,2020,10,October,766,0,5
B00628,"CONCORD LIMOUSINE 1, LLC",,2020,9,September,"1,122",0,55
B03299,WHITE TOP CAR SVCE INC,,2020,8,August,"2,002",0,12
B02990,GO MY SEDAN LLC,,2018,5,May,"1,066",0,18
B03100,MORELOS CAR SERVICE INC.,,2019,7,July,780,0,8
B02975,LI YANG LIMOUSINE INC,,2020,9,September,"2,178",0,17
B02408,"PETER EXECUTIVE LIMOUSINE, CORP",,2019,7,July,89,0,10
B01726,SUPER CLASS RADIO DISP INC,,2017,7,July,"15,787",0,104
B02127,"CONTINENTAL RIDE, INC.",I + I TRANSPORTATION,2015,11,November,97,0,6
B00111,SKYLINE CREDIT RIDE INC,,2021,10,October,"3,252",0,151
B02557,185 MALTA CAR SERVICE LLC,,2017,7,July,"1,160",0,14
B03092,USA LIMOUSINE SERVICE CORP,VPZ EXECUTIVE LIMO,2018,10,October,220,0,14
B00346,MERRICK C/S INC,,2020,8,August,428,0,4
B02709,DASH CAR SERVICE CORP,,2020,6,June,719,0,2
B00628,"CONCORD LIMOUSINE 1, LLC",,2018,5,May,"9,631",0,250
B00459,910 CAR SERVICE INC,,2017,4,April,"8,832",0,49
B02491,CALL THREES LLC,,2016,7,July,"1,336",0,6
B01109,UNITED EXP C/L SVCE,,2018,6,June,"5,559",0,28
B01600,R & N CAR SERVICE INC.,EVERYWHERE CAR SERVICE,2019,10,October,398,0,16
B00208,ERNEST SCHWARZ INC,,2018,9,September,108,0,3
B01625,GLOBE CAR SERVICE INC,,2015,7,July,"3,045",0,10
B01529,J.I.G. TRANSPORT CORP.,ECKFORD CAR SERVICE,2020,9,September,235,0,4
B02055,"MONTAGUE MANAGEMENT SERVICES, INC.",PROMINENT CAR & LIMO,2021,3,March,519,0,2
B02355,BWJ GROUP INC,,2018,11,November,740,0,3
B01923,"AVID INTERNATIONAL, INC.",,2017,6,June,887,0,18
B02852,OP CAR SERVICE INC.,,2017,2,February,581,0,8
B01803,"V.I.P. CONNECTION, INC.",CARLINK,2017,7,July,"3,258",0,80
B00860,SEAMAN RADIO DISPATCHERS INC,,2017,6,June,"32,764",0,177
B01467,NEW EXPERIENCE #1 INC,,2018,8,August,"6,065",0,33
B02686,STANDARD LIMOUSINE & CAR SERVICE GROUP LLC.,,2020,6,June,6,0,2
B00449,A KINGS HWY C/S INC.,,2020,10,October,"5,309",0,16
B02095,"COMMONWEALTH WORLDWIDE CHAUFFEURED TRANSP. OF NY,",,2015,8,August,"2,402",0,153
B00281,"VEE CEE LIMOUSINE SERVICE, INC",NOSTRAND CAR SVCE,2015,11,November,"2,979",0,14
B02252,ASIANA LIMOUSINE INC.,,2019,11,November,18,0,2
B02899,NEW BLACK LUXURY CARS CORP,,2017,1,January,"13,396",0,38
B03309,NYC LIMOUSINE VIP LLC.,NYC LIMOUSINE VVVIP LLC.,2021,8,August,"1,616",0,110
B00112,"AYY&M TRANSPORTATION, LLC",HARBORVIEW CAR SERVICE,2020,10,October,"4,268",0,12
B01639,HIGH CLASS LIMO CAR SVCE CORP,,2020,12,December,"4,237",0,53
B02551,CHIEF LIMO INC.,,2017,12,December,20,0,5
B02686,STANDARD LIMOUSINE & CAR SERVICE GROUP LLC.,,2020,9,September,7,0,1
B02787,SEMPERIDE LLC,,2021,7,July,33,0,2
B00254,XYZ TWO WAY RADIO,,2019,4,April,"13,262",0,203
B02120,HARRISON GLOBAL LLC,BOSTON COACH,2019,7,July,"4,283",0,90
B01663,CIBAO RADIO DISPATCH,,2016,8,August,"15,189",0,94
B00227,"PARK WEST EXEC. SERVICES, INC.",TOWN CARS,2021,4,April,"1,522",0,31
B01979,DREAMLAND CAR & LIMO.SVC INC.,,2018,8,August,"2,333",0,6
B02670,STRIDE TRANSPORTATION INC.,,2020,1,January,395,0,32
B01367,"ROYAL DISPATCH SERVICES, INC.",EXECUTIVE CARS,2021,7,July,969,0,146
B00256,FAST OPERATING CORP,CARMEL C/L SVCE,2021,7,July,"19,784",0,259
B01699,DT BROOKLYN CAR AND LIMO SVC. INC.,FIVE BOROUGHS CAR SERVICE,2018,4,April,50,0,2
B00449,A KINGS HWY C/S INC.,,2017,5,May,"2,980",0,11
B01351,HADERECH CAR SERVICE INC,,2020,3,March,40,0,2
B02163,JUNIORS EXPRESS CAR SERVICE INC.,,2020,8,August,"1,935",0,19
B00248,YELLOWSTONE TRANSPORTATION INC.,YES CAR SERVICE,2018,3,March,"16,688",0,85
B02756,ALLY CAR SERVICE LLC,ACTIVE EXPRESS CAR & LIMO 2,2021,4,April,261,0,5
B02027,"PARIS LIMOUSINE SERVICE, CORP",,2019,9,September,"1,203",0,33
B00919,HARLEM CARS INC.,,2018,9,September,"5,749",0,41
B02905,PUEBLA LUXURY CORP,,2019,10,October,"11,293",0,54
B02315,LA MORENITA CAR LIMO SERVICE INC,,2019,11,November,"2,116",0,8
B01269,DIVISION CAR & LIMO INC.,NATANYA TRANSPORTATION,2020,5,May,177,0,2
B01424,EAGLE CAR & LIMO LTD.,,2020,12,December,126,0,3
B02522,CHAUFFEURED EXECUTIVE TRANSPORTATION LLC,,2019,3,March,38,0,9
B02783,"PREFERRED CARE TRANSPORTATION SERVICE,INC",,2015,4,April,897,0,5
B02472,NEW BUSHWICK LUXURY INC.,,2018,12,December,"6,381",0,31
B02809,NBT TRANSPORTATION INC,,2020,3,March,233,0,6
B02727,OSCAR LIMOUSINE INC,,2015,4,April,100,0,7
B02848,V R WORLDWIDE INC,,2019,6,June,22,0,2
B02817,ANYTIME FORSYTH TRANSPORT CORP,,2016,5,May,7,0,4
B01653,ART'S PLACE INC.,ON TIME CAR SERVICE,2019,3,March,33,0,16
B02719,"49 WESTCHESTER SQUARE PRESTIGE CAR SERVICE, CORP.",,2021,5,May,"3,161",0,44
B00531,"FRIENDLY BEST-WAY TRANSPORTATION, INC.",,2017,1,January,"2,600",0,17
B02727,OSCAR LIMOUSINE INC,,2016,6,June,175,0,4
B02180,PEGASUS TRANSPORT SERVICE INC.,,2017,1,January,777,0,41
B01984,NY 88 EXPRESS CORP.,,2019,6,June,"23,219",0,126
B00350,CHAMPION CAR & LIMO SVC. INC.,,2018,11,November,"3,331",0,19
B00280,FLEET RADIO DISPATCH CORP.,MINUTEMEN,2020,7,July,258,0,70
B01485,FLAMINGO TRANSP. & LIMO. SERVICES INC.,,2021,8,August,"4,487",0,23
B00459,910 CAR SERVICE INC,,2016,3,March,"11,204",0,50
B01109,UNITED EXP C/L SVCE,,2021,8,August,"1,775",0,9
B02111,HUANG HOU CAR SERVICES INC.,HUANG HOU CAR SERVICES INC.,2018,7,July,"23,407",0,101
B00281,"VEE CEE LIMOUSINE SERVICE, INC",NOSTRAND CAR SVCE,2018,8,August,"1,084",0,7
B00625,"CENTRAL CAR SERVICES,INC.",,2021,8,August,"1,430",0,17
B00131,NEW MEXICANA CAR SERVICE II INC.,AZTECA EXPRESS,2018,3,March,"1,229",0,9
B02674,ELAL CAR LIMO SERVICE LLC,FIFTH AVENUE CAR LIMO SERVICE,2017,11,November,"2,104",0,12
B01444,REGO PARK EXPRESS INC.,,2016,8,August,"7,749",0,23
B03011,GOOD DAY TRANSPORTATION INC,,2021,8,August,538,0,4
B01300,KENNEDY RAD DISP INC,,2020,9,September,"3,925",0,32
B02537,ALLTOWN LIMO CORP.,,2020,7,July,"3,002",0,29
B01537,S.I. SPEED INC.,,2019,7,July,"3,095",0,8
B01197,"TEL-A-CAR OF NEW YORK, LLC",,2019,8,August,"1,309",0,46
B01349,CAPRICORN LIMO SVC INC,,2018,5,May,"1,165",0,22
B02664,CORPORATE CAR LTD.,,2016,5,May,216,0,48
B02899,NEW BLACK LUXURY CARS CORP,,2018,2,February,"9,366",0,34
B01239,BEST DEAL PVT C/S INC,BEST DEAL DOMINICAN C/S INC,2019,6,June,"28,366",0,140
B02762,SHOWTIME TRANSPORTATION CORP.,,2016,8,August,"1,774",0,12
B02729,LOW TOUCH LUXURY INC.,,2015,11,November,"1,719",0,63
B02728,NEWTOWN PRIVATE CAR SERVICE INC.,,2017,3,March,"3,976",0,12
B01231,GO CAR CORP.,,2019,11,November,"14,684",0,190
B03050,"TORINKO NY, LLC",,2018,8,August,126,0,15
B02634,VETERANS RADIO DISPATCHER CORP.,,2016,3,March,"39,448",0,194
B00030,TREMONT DISPATCHING CORP,,2016,2,February,455,0,2
B01877,U.S.A. LIMO. INC.,BLUE LINE,2019,3,March,"5,247",0,139
B01527,NEW FAMILY RAD DISP INC,,2021,9,September,535,0,8
B01065,EL BARRIO'S CAR SERVICE LLC,,2019,6,June,"9,695",0,72
B03011,GOOD DAY TRANSPORTATION INC,,2021,4,April,564,0,5
B02145,NEW 2020 CAR SERVICE INC,,2019,9,September,"1,283",0,6
B02594,FENIX MOBILE DISPATCHERS LTD,,2018,7,July,476,0,2
B01239,BEST DEAL PVT C/S INC,BEST DEAL DOMINICAN C/S INC,2016,1,January,"22,249",0,140
B01985,"LUXURY WORLDWIDE TRANSPORTATION, LLC",,2018,8,August,"1,080",0,53
B01479,PRATT CAR SERVICE INC,,2020,2,February,355,0,2
B01269,DIVISION CAR & LIMO INC.,NATANYA TRANSPORTATION,2020,12,December,557,0,3
B00821,ATLANTIC CAR SVCE,,2017,3,March,"26,232",0,115
B01614,R TRANSPORT INC,,2019,5,May,355,0,7
B02782,NEW APP CAR & LIMO INC,,2020,12,December,"1,706",0,15
B02841,"SKYWAY EXECUTIVE SERVICE, INC",,2016,4,April,682,0,17
B00014,NY ONE CORP CAR INC,,2015,6,June,"12,969",0,199
B00850,UPTOWN TRANSIT CORP,,2018,12,December,400,0,5
B02970,FLYTE LINE TRANSPORTATION LLC,ADDISON LEE,2020,12,December,293,0,18
B02410,"POLO LIMOUSINE, CORP.",,2018,6,June,"1,224",0,43
B01413,SFL INC,,2021,10,October,"1,093",0,29
B02416,"NEW STORM CAR SERVICE, INC.",,2017,1,January,"12,175",0,19
B03030,Q-FIRST LIMOUSINE CORP.,,2020,1,January,134,0,12
B01259,THE NEW BROOKLYN C/S INC,,2020,7,July,"2,370",0,13
B02426,TRISTAR SERVICES (US) INC.,TRISTAR WORLDWIDE CHAUFFEURED SERVICES,2017,4,April,"1,249",0,27
B02148,MAVRIK TRANS INC.,,2018,9,September,436,0,19
B00827,"CASTLE CAR SERVICE, INC",,2021,9,September,564,0,2
B02994,99 CAR SERVICES INC.,,2017,9,September,126,0,3
B01146,CHURCH AVE C/S INC,,2018,9,September,"7,817",0,28
B02461,NEW HEAVEN RADIO DISPATCH CORP,,2017,10,October,"6,690",0,84
B01069,RPO CAR AND LIMOUSINE SERVICE INC.,,2019,1,January,"1,860",0,6
B02342,"QUEST INTERNATIONAL LIMOUSINE, INC.",,2020,3,March,419,0,29
B01469,"BROTHERS CAR SERVICE, INC.",,2020,5,May,"4,352",0,40
B02292,NEW YORK APPLE V.I.P. CORP,,2017,6,June,"1,858",0,12
B02331,"CHICO EXPRESS LIMO, INC.",,2019,12,December,"6,885",0,40
B02342,"QUEST INTERNATIONAL LIMOUSINE, INC.",,2019,10,October,721,0,32
B03062,BQN VOUCHER INC,,2019,11,November,"1,194",0,8
B02832,NYC FLY WHEELS INC.,,2021,8,August,456,0,5
B02182,"FINEST CAR SERVICE, LLC",,2015,12,December,466,0,4
B02101,EXEC TRANSPORT INC,EAST COAST WORLDWIDE LIMOUSINE,2018,8,August,"6,981",0,209
B00030,TREMONT DISPATCHING CORP,,2019,5,May,778,0,6
B01343,ALL PEOPLE CAR SERVICE INC.,,2021,1,January,207,0,1
B01417,NESHER EXPRESS CAR SERVICE 2 INC.,,2019,5,May,"1,233",0,15
B02704,SPRINGFIELD CAR SERVICE INC,,2015,9,September,"2,072",0,29
B01231,GO CAR CORP.,,2018,11,November,"2,190",0,17
B01326,DEBORAH C/L SVC INC,,2019,7,July,112,0,21
B02905,PUEBLA LUXURY CORP,,2021,8,August,"6,730",0,35
B01183,ODYSSEY GLOBAL TRANSPORTATION & LIMO LLC.,,2021,3,March,358,0,90
B02106,"PERFECT LIMO SERVICE, INC.",,2017,12,December,15,0,12
B02903,JFK LUXURY LIMOUSINE INC,,2020,12,December,160,0,8
B02972,BLESSING TRANSPORTATION GROUP INC,,2018,6,June,418,0,7
B01871,"ALPINE LIMOUSINE SERVICE, INC.",,2018,7,July,"2,401",0,88
B00823,"EASTERN L.P.B.,INC.",EASTERN CAR SVCE,2020,8,August,"3,320",0,55
B02747,LEGEND LUXURY LIMO INC.,,2019,9,September,306,0,50
B02167,MADISON LIMOUSINE INC,,2015,9,September,43,0,2
B01420,A.M.N. MANAGEMENT INC.,ALWAYS READY C/S,2017,4,April,"1,354",0,10
B01721,W.K. CAR & LIMO SERVICE INC,,2020,3,March,771,0,16
B01958,ST.ALBANS-HOLLIS CAR SERVICE INC.,,2019,1,January,"2,870",0,18
B01958,ST.ALBANS-HOLLIS CAR SERVICE INC.,,2015,11,November,"1,263",0,15
B01109,UNITED EXP C/L SVCE,,2018,11,November,"3,990",0,23
B00350,CHAMPION CAR & LIMO SVC. INC.,,2020,9,September,"2,526",0,24
B01364,NY ATLIXCO CAR SERVICE INC,,2018,6,June,"2,846",0,21
B00160,JAFFA CAR & LIMO SVC INC,,2020,3,March,"1,594",0,14
B01980,"READY TO ROLL TRANSPORTATION, INC.",,2016,2,February,717,0,18
B01467,NEW EXPERIENCE #1 INC,,2016,3,March,"18,367",0,82
B02809,NBT TRANSPORTATION INC,,2019,12,December,280,0,6
B03246,FASTRIDE LIMO INC.,,2021,2,February,455,0,8
B02389,"EMBARQUE N.Y., INC.",,2020,2,February,2,0,1
B01928,DISCOVER LIMO INC,INFINITY LIMO,2020,3,March,6,0,3
B02005,CAR LINE TRANSPORTATION CORP.,CAR LINE TRANSPORTATION CORP.,2018,6,June,"1,033",0,27
B02228,SPECIAL RADIO DISP.CORP.,,2021,7,July,1,0,1
B02774,ALFRED HOLDINGS INC.,ALFRED EXECUTIVE TRANSPORTATION,2018,4,April,471,0,23
B02021,EASYRIDE CAR SERVICE INC.,,2017,7,July,"1,200",0,6
B02191,US LIMO SYSTEM INC,,2017,12,December,415,0,22
B01679,OLLIE'S TRANSPORTATION SERVICE,OLLIE'S AIRPORT SERVICE,2016,11,November,863,0,18
B03107,JD XPRESS INC.,,2020,7,July,"3,740",0,11
B00906,OLYMPIA OPERATING CAR SERVICE OF NY CORP.,,2019,1,January,"1,644",0,6
B02735,"BEST DEAL CAR SERVICE 2,INC.",,2019,7,July,"23,193",0,133
B02101,EXEC TRANSPORT INC,EAST COAST WORLDWIDE LIMOUSINE,2016,2,February,"6,928",0,151
B02320,GDS TRANSPORTATION CORP.,UPPER CAR SERVICE,2017,2,February,"2,378",0,29
B02016,PLANET LIMOUSINE LLC,,2015,12,December,"3,174",0,71
B00919,HARLEM CARS INC.,,2016,3,March,"12,182",0,60
