Base License Number,Base Name,DBA,Year,Month,Month Name,Total Dispatched Trips,Total Dispatched Shared Trips,Unique Dispatched Vehicles
B02738,EXPLORER CAR SERVICE INC.,,2019,5,May,"8,318",0,68
B02594,FENIX MOBILE DISPATCHERS LTD,,2017,1,January,"2,247",0,7
B01509,"BRUNWISH ENTERPRISES,LTD.",EASTLAND CAR SERVICE,2018,8,August,"13,983",0,62
B00054,128 BLUE BIRD TRANSPORT INC.,LATCH CAR SERVICE,2018,11,November,843,0,5
B00889,MEXICANA CAR SERVICE INC.,,2020,7,July,"3,321",0,15
B01194,440 CAR SERVICE INC.,,2016,11,November,"8,608",0,40
B02228,SPECIAL RADIO DISP.CORP.,,2019,2,February,37,0,8
B02379,THE OPTION TRANSPORTATION CORP.,,2019,12,December,"2,451",0,30
B01263,"RACHEL'S CAR SERVICE,INC.",,2015,11,November,"5,921",0,16
B03046,"BEL-LINDA, INC",ISLANDER TRANS,2020,10,October,"1,768",0,19
B03064,AP LUXURY LIMOUSINE INC,,2019,10,October,333,0,15
B03284,MYLE WORLDWIDE INC,,2020,6,June,262,0,138
B01995,NYMEX UNO EXECUTIVE SEDAN'S INC,NYMEX CAR SERVICE,2020,1,January,"2,966",0,34
B02705,GROUND JET EXECUTIVE TRANSPORTATION LLC,,2017,8,August,82,0,5
B00652,RESCUE C/S INC,,2019,12,December,"2,294",0,15
B01236,BLS LIMO SVC OF NY INC,,2019,5,May,"3,829",0,110
B02825,GUADALUPANA II CAR & LIMO INC,,2018,7,July,"2,862",0,12
B01846,ROMANTIQUE LIMOUSINE INC.,,2020,11,November,31,0,10
B02308,NORWOOD CAR & LIMO INC.,,2018,3,March,"1,813",0,17
B01454,FREEDOM LIMO & CAR SERVICE,,2019,10,October,"3,778",0,13
B01811,IVOIRE LIMO INC.,,2018,1,January,"1,149",0,22
B02838,THA MAYA CAR SERVICE INC,,2016,5,May,530,0,12
B02817,ANYTIME FORSYTH TRANSPORT CORP,,2017,5,May,31,0,8
B02534,DV LUXURY TRANSPORTATION CORPORATION,,2015,10,October,"18,342",0,106
B02681,DIRECT CAR & LIMO SERVICE INC.,,2015,7,July,182,0,6
B02248,HYBRID LIMO EXPRESS INC.,,2017,2,February,939,0,6
B00855,MAGNIFICENT 7'S ENTP INC,,2020,3,March,"1,703",0,7
B03041,PUEBLA CITY INC.,,2020,8,August,"3,319",0,13
B01233,NEW LACONIA RAD DISP INC,,2018,8,August,"7,355",0,40
B01215,ECUADOOR CORP,,2019,8,August,"3,968",0,22
B00628,"CONCORD LIMOUSINE 1, LLC",,2020,3,March,"3,406",0,186
B00001,LONDON TOWNCARS INC,,2021,10,October,571,0,15
B01717,HIGH CLASS BRONX LIMO C/S CORP,,2021,3,March,"10,405",0,72
B01244,MASADA II C/L SVC INC,,2019,8,August,722,0,5
B02021,EASYRIDE CAR SERVICE INC.,,2018,4,April,162,0,2
B02931,NEW TECHNOLOGY TRANSPORTATION INC.,,2016,8,August,728,0,9
B02979,ADVANTAGE LIMO OF NY INC.,,2017,2,February,"1,793",0,12
B01739,CITY CAR SERVICE CORP,DIGITAL CAR SERVICE,2016,1,January,"1,687",0,8
B02651,SAROS TRANSPORTATION GROUP INC.,,2016,1,January,275,0,16
B00281,"VEE CEE LIMOUSINE SERVICE, INC",NOSTRAND CAR SVCE,2016,2,February,"2,743",0,15
B01087,ELITE LIMO PLUS INC,,2017,12,December,"21,842",0,522
B02022,GOLD SEAL CAR & LIMO INC.,,2016,4,April,"1,244",0,27
B02646,"E CARS & LIMO SERVICE, INC.",,2015,10,October,"1,690",0,50
B03041,PUEBLA CITY INC.,,2019,2,February,"6,537",0,27
B02311,FAST CITY CAR & LIMO SVC INC.,,2016,9,September,"2,571",0,18
B00556,SURREY CADILLAC LIMO SVC INC,,2018,6,June,616,0,17
B02739,TRAXLINE CAR SERVICE INC.,,2015,11,November,"1,444",0,13
B02110,"OPTIMUM CAR & LIMO, INC.",,2021,2,February,"1,033",0,12
B02846,DLS TRANSPORTATION CORP.,,2017,12,December,"1,170",0,19
B03074,BLACKBIRD WORLDWIDE CORP,,2021,8,August,80,0,6
B01846,ROMANTIQUE LIMOUSINE INC.,,2021,2,February,12,0,6
B02389,"EMBARQUE N.Y., INC.",,2016,11,November,812,0,10
B02468,GROUNDLINK HOLDINGS LLC,GROUNDLINK YOUR'E GOOD TO GO,2015,6,June,"3,423",0,49
B01338,3210 WEBSTER AV PRESTIGE C/S,,2020,2,February,"13,815",0,82
B01343,ALL PEOPLE CAR SERVICE INC.,,2016,10,October,"3,919",0,23
B02738,EXPLORER CAR SERVICE INC.,,2018,3,March,"1,633",0,15
B01288,NEW ELEGANTE CAR SVC INC,ELEGANTE,2016,10,October,"5,396",0,42
B02285,"VALERA GLOBAL, INC.",,2017,1,January,"3,658",0,90
B03140,RISE AND SHINE TRANSPORTATION INC.,,2020,7,July,283,0,2
B01445,J T TRANSPORTATION CO INC,,2020,1,January,"6,533",0,71
B02839,YERUSHALAYIM CAR&LIMO INC,,2018,12,December,420,0,3
