DATE	DAILY_ENTRIES
2017-12-31	2493955.0
2018-01-01	2087133.0
2018-01-02	5122646.0
2018-01-03	5772269.0
2018-01-04	3132884.0
2018-01-05	4925593.0
2018-01-06	2607072.0
2018-01-07	2136645.0
2018-01-08	5484121.0
2018-01-09	5888093.0
2018-01-10	5869194.0
2018-01-11	5873968.0
2018-01-12	5527664.0
2018-01-13	3222704.0
2018-01-14	2373009.0
2018-01-15	3368167.0
2018-01-16	5667044.0
2018-01-17	5720512.0
2018-01-18	5935030.0
2018-01-19	5761439.0
2018-01-20	3429841.0
2018-01-21	2432342.0
2018-01-22	5523385.0
2018-01-23	5673676.0
2018-01-24	5815627.0
2018-01-25	5920334.0
2018-01-26	5696507.0
2018-01-27	3263048.0
2018-01-28	2394273.0
2018-01-29	5745258.0
2018-01-30	6073692.0
2018-01-31	6005779.0
2018-02-01	6091384.0
2018-02-02	5803516.0
2018-02-03	3102250.0
2018-02-04	2305996.0
2018-02-05	5677558.0
2018-02-06	5998316.0
2018-02-07	5781649.0
2018-02-08	6217623.0
2018-02-09	5909277.0
2018-02-10	3128657.0
2018-02-11	2220569.0
2018-02-12	5592123.0
2018-02-13	6034255.0
2018-02-14	6264382.0
2018-02-15	6112056.0
2018-02-16	5428619.0
2018-02-17	3032379.0
2018-02-18	2457988.0
2018-02-19	3252496.0
2018-02-20	5535377.0
2018-02-21	5739686.0
2018-02-22	5719516.0
2018-02-23	5630539.0
2018-02-24	3330714.0
2018-02-25	2346390.0
2018-02-26	5717946.0
2018-02-27	6026749.0
2018-02-28	6172005.0
2018-03-01	6020498.0
2018-03-02	5301465.0
2018-03-03	3165715.0
2018-03-04	2549887.0
2018-03-05	5901165.0
2018-03-06	6162429.0
2018-03-07	4431844.0
2018-03-08	5775441.0
2018-03-09	6147755.0
2018-03-10	3435988.0
2018-03-11	2501771.0
2018-03-12	5747564.0
2018-03-13	5703346.0
2018-03-14	6253477.0
2018-03-15	6246393.0
2018-03-16	6208665.0
2018-03-17	3511616.0
2018-03-18	2789854.0
2018-03-19	5707384.0
2018-03-20	5996557.0
2018-03-21	3510296.0
2018-03-22	5498432.0
2018-03-23	6109059.0
2018-03-24	3583214.0
2018-03-25	2682071.0
2018-03-26	5821232.0
2018-03-27	6197474.0
2018-03-28	6153627.0
2018-03-29	6134816.0
2018-03-30	5056795.0
2018-03-31	3378184.0
2018-04-01	2547315.0
2018-04-02	4857869.0
2018-04-03	5666042.0
2018-04-04	5669466.0
2018-04-05	5825420.0
2018-04-06	5510658.0
2018-04-07	3378486.0
2018-04-08	2690190.0
2018-04-09	5737830.0
2018-04-10	6034789.0
2018-04-11	6202872.0
2018-04-12	6182235.0
2018-04-13	6035346.0
2018-04-14	3760047.0
2018-04-15	2573774.0
2018-04-16	5305067.0
2018-04-17	6115992.0
2018-04-18	6213171.0
2018-04-19	6230764.0
2018-04-20	6192390.0
2018-04-21	3602920.0
2018-04-22	2898701.0
2018-04-23	5811071.0
2018-04-24	6170248.0
2018-04-25	6131879.0
2018-04-26	6428119.0
2018-04-27	6072171.0
2018-04-28	3512967.0
2018-04-29	2856397.0
2018-04-30	6053484.0
2018-05-01	6182791.0
2018-05-02	6280581.0
2018-05-03	6390114.0
2018-05-04	6201087.0
2018-05-05	3587453.0
2018-05-06	2737551.0
2018-05-07	5801808.0
2018-05-08	6172040.0
2018-05-09	6406690.0
2018-05-10	6255017.0
2018-05-11	6123310.0
2018-05-12	3384776.0
2018-05-13	2511113.0
2018-05-14	5849423.0
2018-05-15	6220026.0
2018-05-16	6240462.0
2018-05-17	6199196.0
2018-05-18	6098671.0
2018-05-19	3331863.0
2018-05-20	2724007.0
2018-05-21	5706361.0
2018-05-22	6171833.0
2018-05-23	6357477.0
2018-05-24	6291979.0
2018-05-25	5764349.0
2018-05-26	3167653.0
2018-05-27	2402371.0
2018-05-28	2611770.0
2018-05-29	5764904.0
2018-05-30	6083296.0
2018-05-31	6084101.0
2018-06-01	5925921.0
2018-06-02	3385114.0
2018-06-03	2785031.0
2018-06-04	5712926.0
2018-06-05	6012827.0
2018-06-06	6183440.0
2018-06-07	6007038.0
2018-06-08	6024971.0
2018-06-09	3507591.0
2018-06-10	2766994.0
2018-06-11	5833503.0
2018-06-12	6091444.0
2018-06-13	6115154.0
2018-06-14	6120541.0
2018-06-15	5748895.0
2018-06-16	3517701.0
2018-06-17	2699705.0
2018-06-18	5679816.0
2018-06-19	5964944.0
2018-06-20	6181940.0
2018-06-21	6071082.0
2018-06-22	5877874.0
2018-06-23	3305944.0
2018-06-24	3097399.0
2018-06-25	5638052.0
2018-06-26	5955315.0
2018-06-27	5960206.0
2018-06-28	5708313.0
2018-06-29	5635891.0
2018-06-30	3326751.0
2018-07-01	2534763.0
2018-07-02	5157503.0
2018-07-03	5373714.0
2018-07-04	2738682.0
2018-07-05	5074183.0
2018-07-06	4893463.0
2018-07-07	3200556.0
2018-07-08	2601000.0
2018-07-09	5499914.0
2018-07-10	5879551.0
2018-07-11	5849881.0
2018-07-12	5866213.0
2018-07-13	5716679.0
2018-07-14	3381151.0
2018-07-15	2699614.0
2018-07-16	5464055.0
2018-07-17	5655666.0
2018-07-18	5818066.0
2018-07-19	5886444.0
2018-07-20	5625254.0
2018-07-21	3289876.0
2018-07-22	2562376.0
2018-07-23	5321825.0
2018-07-24	5750880.0
